comp_size,comp_time,decomp_time,size,comp_ratio
16361,0.39784955799950694,0.0769366730000911,50537,0.3237430001780873
22558,1.194770370999322,0.2612635380010033,85425,0.2640678958150424
23155,0.5789488119989983,0.10021300399967004,86047,0.26909712134066266
49846,1.0108507340009965,0.2059358570004406,107698,0.4628312503481959
32950,2.1801478460001817,0.1336174359985307,113183,0.29112145816951307
43034,1.8108545060003962,0.21002101799967932,123637,0.3480673261240567
86146,2.0312597499996627,0.39691544999914186,199569,0.43166022779088936
78198,1.8334369410004001,0.3467763909993664,238946,0.3272622266118705
78520,2.168532862000575,0.38712894699892786,256276,0.3063884249793192
247068,5.607643848999942,0.9599822239997593,612772,0.4031972740268811
206251,31.107939702000294,2.0262258009997822,623294,0.33090483784538277
226685,30.11298386099952,0.9222627019989886,793574,0.28565073956556036
247821,15.006083034999392,1.130201975000091,1023385,0.2421581320812793
441087,11.941288739999436,1.854891086999487,1214386,0.36321812010349264
1209570,115.62445780800044,6.149833460000082,3256623,0.37141849087229317
1114030,66.95449542900133,11.98680665000029,4123652,0.27015616254717906
1645258,62.65983147500083,11.149653122000018,4572477,0.3598176655672626
1291630,273.9461512889993,4.99243008799931,5475893,0.23587568274252255
2076935,81.34538843799965,8.29005771499942,6476068,0.320709263707546
2480648,161.49795208600062,9.658922462000191,8483448,0.29241035013122024
1697048,286.56866168300076,6.717405225999755,10559175,0.16071785911304623
2963189,855.9786350680006,11.847784399000375,12859056,0.23043596668371302
3609713,1653.698879388001,29.987480153000433,21017659,0.17174667264322824
4819491,518.1363621050004,27.525494789999357,25463688,0.18926916635170837
